Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (Ohio),,Amazon RDS for PostgreSQL,46030,1285.568,61456.82,USD,"Quantity (2), Pricing strategy (Standard Reserved Instances 3 Year No Upfront), Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB per month), Instance type (db.m5.12xlarge)"
My Estimate,US East (Ohio),,Amazon EC2,0,689.4,8272.80,USD,"Operating system (Linux), Quantity (12), Pricing strategy (Standard Reserved Instances  ), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (t3a.xlarge)"
My Estimate,US East (Ohio),,Amazon Virtual Private Cloud (VPC),0,66.6,799.20,USD,Number of NAT Gateways (2)
My Estimate,US East (Ohio),,S3 Standard,0,0.23,2.76,USD,S3 Standard storage (10 GB per month)
My Estimate,US East (Ohio),,Data Transfer,0,10.24,122.88,USD,"Data Transfer, Data transfer cost (10.24)"
My Estimate,US East (Ohio),,Amazon Route 53,0,1.3,15.60,USD,Hosted Zones (1)
My Estimate,US East (Ohio),,Elastic Load Balancing,0,74.83,897.96,USD,Number of Application Load Balancers (1)



"By using reserved instances we could drastically reduce our costs. Other changes may be to use a serverless solution so we don't have to reserve any compute resources up front."
