Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,"4,073.28",48879.31,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB)"
My Estimate,US East (N. Virginia),S3 Standard,0,23.61,283.32,USD,S3 Standard storage (1 TB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,0,0,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
"
My Estimate,US East (N. Virginia),Amazon EC2,0,524.98,6299.76,USD,"Operating system (Linux), Quantity (8), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (c6g.medium)"
My Estimate,US East (N. Virginia),Amazon EC2,0,470.4,5644.8,USD,"Operating system (Linux), Quantity (8), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (150 GB), Instance type (m5.large)"
My Estimate,US East (N. Virginia),Amazon CloudWatch,0,7.5,90,USD,
My Estimate,US East (N. Virginia),Amazon Elastic IP,0,0,0,USD,"Number of EC2 instances (4), Number of EIPs per instance (1)"
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,149.4,1792.8,USD,Number of NAT Gateways (4)
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,2036.638,24439.66,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB)"
,,,,,,,
,,,,,,,
,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,
