Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,2282.85,27394.2,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),S3 Standard,0,1285.27,15423.24,USD,S3 Standard storage (50000 GB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,0,0,USD," Inbound (from: Internet) 0 TB per month 
 Outbound (to: Amazon Cloud Front) 0 TB per month 
"
My Estimate,US East (N. Virginia),Amazon EC2,0,729.58,8754.96,USD,"Operating system (Linux), Quantity (2), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB)"
My Estimate,US East (N. Virginia),Amazon EC2,0,741.84,8902.08,USD,"Operating system (Linux), Quantity (2), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB)"
My Estimate,US West (Oregon),Amazon RDS for MySQL,0,1625.748,19508.98,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB)"
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,1625.748,19508.98,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB)"
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,41.61,499.32,USD,"Number of Network Load Balancers (2), Average TLS connection duration (1 seconds), Average number of new TLS connections (10 per second), Processed bytes per NLB for TLS (1 GB per hour)"
My Estimate,US West (Oregon),Amazon EC2,0,729.58,8754.96,USD,"Operating system (Linux), Quantity (2), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB)"
My Estimate,US West (Oregon),Amazon EC2,0,741.84,8902.08,USD,"Operating system (Linux), Quantity (2), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB)"
My Estimate,US West (Oregon),Elastic Load Balancing,0,41.61,499.32,USD,"Number of Network Load Balancers (2), Average TLS connection duration (1 seconds), Average number of new TLS connections (10 per second), Processed bytes per NLB for TLS (1 GB per hour)"
My Estimate,US West (Oregon),Amazon Virtual Private Cloud (VPC),0,2282.85,27394.2,USD,Number of NAT Gateways (1)
My Estimate,US West (Oregon),Amazon Route 53,0,697.5,8370,USD,"Hosted Zones (2), Basic Checks Within AWS (2), Number of Elastic Network Interfaces (2)"
My Estimate,US East (N. Virginia),Amazon ElastiCache,0,2657.2,31886.4,USD,(2 instances)  Redis  Memory optimized  cache r4.4xlarge  OnDemand
My Estimate,US West (Oregon),Amazon ElastiCache,0,2657.2,31886.4,USD,(2 instances)  Redis  Memory optimized  cache r4.4xlarge  OnDemand
,,,,,,,
,,,,,,,
,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,
,,,,,,,
Changes made:,,,,,,,
1,Created a DR site in Oregon region,,,,,,
2,"Multi-AZ, multi-region database",,,,,,
3,ElastiCache to improve performance,,,,,,
4,Route 53 to route traffic towards Oregon if primary VPC is unavailable,,,,,,
